3D Model,Group,Exhibitor Name,Website,Total Revenue,Industry,Products,ICP
,Machine Tools & Fabrication Machinery,Wanner Engineering,wannereng.com,$50M-$100M (est.),Pumps,Hydra-Cell seal-less high-pressure diaphragm pumps,Near-ICP
,Machine Tools & Fabrication Machinery,Weingärtner Maschinenbau GmbH,weingartner.com,$50M-$100M (est.),Machine tools,Mill-turn machining centers for large components,Near-ICP
,Machine Tools & Fabrication Machinery,"YOU JI MACHINE INDUSTRIAL CO., LTD.",Unknown,$50M-$100M (est.),Machine tools,Vertical turning lathes and CNC lathes,Near-ICP
,Machine Tools & Fabrication Machinery,"Yukiwa Seiko U.S.A., Inc.",yukiwa.co.jp,$50M-$100M (est.),Machine tool accessories,NC rotary tables and drill chucks,Near-ICP
,Machine Tools & Fabrication Machinery,Zimmermann Inc,f-zimmermann.com,$50M-$100M (est.),Machine tools,Portal milling machines for large parts,Near-ICP
CNC Machine,"Cutting Tools, Tooling & Workholding",Allied Machine & Engineering,alliedmachine.com,$100M-$200M (est.),Cutting tools,"Drilling, boring, reaming, and threading tools",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",Bahco Bandsaw,bahco.com,"$4.7B (Snap-on parent, 2024)",Saw blades,Bandsaw blades and hand tools,Yes
CNC Machine,"Cutting Tools, Tooling & Workholding","Beijing Worldia Diamond Tools Co.,Ltd.",worldia.com,$100M-$200M (est.),Cutting tools,PCD/PCBN diamond cutting tools and inserts,Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",Bichamp Cutting Technology (India) Private Limited.,bichamp.com,$100M-$300M (est.),Cutting tools,Bimetal and carbide band saw blades,Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",BIG DAISHOWA,bigdaishowa.com,$200M-$400M (est.),Tooling systems,"Tool holders, spindle tooling, and workholding (BIG KAISER)",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding","Botek America, Inc.",botek.de,$100M-$200M (est.),Cutting tools,"Deep hole drilling tools (gundrills, BTA tooling)",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",CERATIZIT USA,ceratizit.com,$1.3B (est.),Cutting tools,"Carbide inserts, round tools, and hard material solutions",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",CUMI America Inc,cumiamerica.com,"$500M-$600M (parent, est.)",Abrasives,"Bonded and coated abrasives, grinding wheels, ceramics",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding","EROWA Technology, Inc.",erowa.com,$100M-$300M (est.),Workholding & automation,"Tooling systems, pallet automation, EDM cell automation",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",Fives Landis Corp. (CITCO Tools),fivesgroup.com,"$2.5B (Fives Group, est.)",Cutting tools,"Diamond dressing tools, PCD/CBN tools",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",Fives Landis Corp. (Gardner Abrasives),fivesgroup.com,"$2.5B (Fives Group, est.)",Abrasives,Grinding wheels and bonded abrasives,Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",Haimer USA,haimer.com,$100M-$150M (est.),Toolholding,"Tool holders, shrink-fit machines, balancing, and presetting equipment",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",Hainbuch America Corporation,hainbuch.com,$100M-$200M (est.),Workholding,"Clamping chucks, collets, and mandrels for machining",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",IMC Group,imc-companies.com,$3B+ (est.),Cutting tools,"Metalworking cutting tool group (Iscar, Ingersoll, Taegutec)",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",IMC Group 2,imc-companies.com,$3B+ (est.),Cutting tools,"Metalworking cutting tool group (Iscar, Ingersoll, Taegutec)",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",Ingersoll Cutting Tools,ingersoll-imc.com,$100M-$500M (est.),Cutting tools,"Milling, turning and holemaking cutting tools",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",Iscar,iscar.com,$2B+ (est.),Cutting tools,"Carbide inserts, milling, turning and drilling tools",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",Kanefusa USA Inc.,kanefusa.co.jp,"$100M-$200M (est., parent)",Saw blades,Industrial saw blades and machine knives,Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",Kennametal Inc.,kennametal.com,$2.0B (FY2024),Cutting tools,"Carbide cutting tools, tooling systems, wear solutions",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",LENOX,lenoxtools.com,$400M-$600M (est.),Cutting tools,"Band saw blades, hand tools, power tool accessories",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",norelem,norelem.com,$100M-$200M (est.),Machine components,"Standard parts, workholding, and machine elements",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding","Noritake U.S.A., Inc.",noritake.com,"~$1B (Noritake group, est.)",Abrasives,"Grinding wheels, superabrasives, and industrial ceramics",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",Norton / Saint-Gobain Abrasives,nortonabrasives.com,"$50B (Saint-Gobain group, 2024)",Abrasives,"Grinding wheels, coated abrasives, and finishing products",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",Pascal Engineering Inc.,pascaleng.co.jp,$100M-$200M (est.),Workholding,"Hydraulic clamps, die change systems, and machine tool workholding",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",PUNCH INDUSTRY USA INC.,punch.co.jp,$200M-$300M (est.),Die components,Precision die and mold components,Yes
CNC Machine,"Cutting Tools, Tooling & Workholding","rose plastic USA, LLLP",rose-plastic.com,$100M-$200M (est.),Packaging,Protective plastic packaging for cutting tools,Yes
CNC Machine,"Cutting Tools, Tooling & Workholding","Samchully Workholding, Inc.",samchullyworkholding.com,$100M-$300M (est.),Workholding,"Power chucks, hydraulic cylinders, and rotary tables for lathes",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",Sandvik,sandvik.com,$11B (2024),Engineering group,"Mining equipment, cutting tools, and manufacturing solutions",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",Schmalz Inc.,schmalz.com,$500M-$700M (est.),Vacuum technology,"Vacuum grippers, suction cups, and vacuum clamping systems",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding","SCHUNK, Inc.",schunk.com,$1.5B (est.),Workholding and automation,"Toolholders, chucks, grippers, and automation components",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",SMW AUTOBLOK CORPORATION,smwautoblok.com,$100M-$300M (est.),Workholding,"Power chucks, steady rests, and stationary workholding",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",The L. S. Starrett Co.,starrett.com,$250M (FY2024),Precision tools,"Precision measuring tools, gauges, saw blades, metrology",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",Tiangong Precision Tools (Hong Kong) Company,Unknown,"$500M-$800M (parent, est.)",Cutting tools,"HSS drills, taps, and cutting tools",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",Vargus USA,vargus.com,$100M-$200M (est.),Cutting tools,"Threading, grooving, and deburring tools (Vardex, Shaviv)",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",WEILER ABRASIVES,weilerabrasives.com,$300M-$500M (est.),Abrasives,"Grinding wheels, brushes, and abrasive products",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",YG-1 Tool Co.,yg1.kr,$300M-$500M (est.),Cutting tools,"End mills, drills, taps, indexable tooling",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding","ZCC - USA, Inc.",zccct.com,"$1B-$2B (parent, est.)",Cutting tools,"Carbide inserts, end mills, tooling systems",Yes
CNC Machine,"Cutting Tools, Tooling & Workholding",ZCC America,zccct.com,"$1B-$2B (parent, est.)",Cutting tools,"Carbide inserts, end mills, tooling systems",Yes
,"Cutting Tools, Tooling & Workholding",ARNO-Werkzeuge USA LLC,arno.de,$50M-$80M (est.),Cutting tools,"Grooving, turning, and milling inserts and toolholders",Near-ICP
,"Cutting Tools, Tooling & Workholding","ARNTZ, Inc.",arntz.de,$50M-$100M (est.),Saw blades,Band saw blades for metal cutting,Near-ICP
,"Cutting Tools, Tooling & Workholding",Birla Precision Technologies Limited,birlaprecision.com,$50M-$100M (est.),Cutting tools,"Drills, taps, end mills, spindles, and precision components",Near-ICP
,"Cutting Tools, Tooling & Workholding",BISON USA Corp.,bisonusa.com,$50M-$100M (est.),Workholding,"Chucks, vises, and workholding devices",Near-ICP
,"Cutting Tools, Tooling & Workholding","Carmex Precision Tools, LLC",carmex.com,$50M-$100M (est.),Cutting tools,"Thread milling, threading inserts, and milling tools",Near-ICP
,"Cutting Tools, Tooling & Workholding",Carr Lane Manufacturing Co.,carrlane.com,$50M-$100M (est.),Workholding,"Tooling components, fixtures, and jig/fixture hardware",Near-ICP
,"Cutting Tools, Tooling & Workholding","CemeCon, Inc.",cemecon.com,$50M-$100M (est.),Coatings,PVD and CVD diamond coatings for cutting tools,Near-ICP
,"Cutting Tools, Tooling & Workholding","Jergens, Inc.",jergensinc.com,$50M-$100M (est.),Workholding,"Workholding, fixturing, lifting and specialty fasteners",Near-ICP
,"Cutting Tools, Tooling & Workholding",Kosmek USA Ltd.,kosmek.com,"$50M-$150M (parent, est.)",Workholding,"Hydraulic clamps, robotic hand changers, pallet clamping",Near-ICP
,"Cutting Tools, Tooling & Workholding",Kurt Workholding,kurtworkholding.com,$50M-$100M (est.),Workholding,Machine vises and custom workholding,Near-ICP
,"Cutting Tools, Tooling & Workholding",Mate Precision Technologies,mate.com,$50M-$150M (est.),Tooling and workholding,"Punch press tooling, laser optics, workholding",Near-ICP
,"Cutting Tools, Tooling & Workholding",MST Corporation,mst-corp.co.jp,$50M-$100M (est.),Tooling,Precision tool holders and shrink-fit tooling systems,Near-ICP
,"Cutting Tools, Tooling & Workholding","NS TOOL CO., LTD.",ns-tool.com,$50M-$100M (est.),Cutting tools,Micro carbide end mills for precision machining,Near-ICP
,"Cutting Tools, Tooling & Workholding",Platit Inc,platit.com,$50M-$100M (est.),Coating equipment,PVD coating machines for cutting tools,Near-ICP
,"Cutting Tools, Tooling & Workholding",RBC SCHAUBLIN - SWISS TOOLS USA,schaublin.ch,$50M-$100M (est.),Toolholding/machine tools,"Precision collets, toolholding, and Swiss lathes",Near-ICP
,"Cutting Tools, Tooling & Workholding",REGO-FIX Tool Corporation,rego-fix.com,$50M-$150M (est.),Toolholding,"ER collets, powRgrip toolholding systems",Near-ICP
,"Cutting Tools, Tooling & Workholding",Star Cutter Company,starcutter.com,$50M-$100M (est.),Cutting tools,"Carbide blanks, gear cutting tools, and tool grinders",Near-ICP
,"Cutting Tools, Tooling & Workholding",WESPA USA Inc,wespa.de,$50M-$100M (est.),Saw blades,Band saw blades for metal cutting,Near-ICP
,"Cutting Tools, Tooling & Workholding",WTO Inc,wto.de,$50M-$100M (est.),Toolholding,Driven and static tool holders for CNC lathes,Near-ICP
Robotic Arm,"Automation, Robotics & Material Handling",ATI Industrial Automation,ati-ia.com,$100M-$200M (est.),Robotic end-of-arm tooling,"Robotic tool changers, force/torque sensors, and deburring tools",Yes
Robotic Arm,"Automation, Robotics & Material Handling",Boston Dynamics,bostondynamics.com,$100M-$500M (est.),Robotics,"Mobile robots (Spot, Stretch, Atlas) for industry",Yes
Robotic Arm,"Automation, Robotics & Material Handling","Bucci Industries USA, Inc.",bucci-industries.com,$100M-$200M (est.),Machine tool automation,"Bar feeders (IEMCA), automation, and workholding",Yes
Robotic Arm,"Automation, Robotics & Material Handling","Comau, LLC",comau.com,$1.1B (est.),Robotics/automation,"Industrial robots, automation systems, and e-mobility manufacturing",Yes
Robotic Arm,"Automation, Robotics & Material Handling",Combilift,combilift.com,$550M (est.),Material handling,Multidirectional forklifts and long-load handling equipment,Yes
Robotic Arm,"Automation, Robotics & Material Handling",FANUC Corporation,fanuc.co.jp,$5.3B (FY2024),Industrial automation,"CNC controls, industrial robots, robomachines",Yes
Robotic Arm,"Automation, Robotics & Material Handling",Fastems LLC,fastems.com,$100M-$150M (est.),Factory automation,"Flexible manufacturing systems, pallet automation, control software",Yes
Robotic Arm,"Automation, Robotics & Material Handling",Fives Lund,fivesgroup.com,"$2.5B (Fives Group, est.)",Automation,Aerospace composites automation systems,Yes
Robotic Arm,"Automation, Robotics & Material Handling",Gorbel Inc.,gorbel.com,$100M-$300M (est.),Material handling,"Workstation cranes, jib cranes, and ergonomic lifting devices",Yes
Robotic Arm,"Automation, Robotics & Material Handling",Gudel Inc.,gudel.com,$100M-$300M (est.),Automation,"Linear motion systems, gantry robots, and automation components",Yes
Robotic Arm,"Automation, Robotics & Material Handling",Hirata Corporation of America,hirata.co.jp,$400M-$600M (est.),Automation,Automated assembly and production systems,Yes
Robotic Arm,"Automation, Robotics & Material Handling",Hiwin Corporation,hiwin.com,$700M-$900M (est.),Motion control,"Linear guideways, ballscrews, and motion components",Yes
Robotic Arm,"Automation, Robotics & Material Handling",Hänel Storage Systems,hanel.us,$100M-$300M (est.),Storage systems,Vertical lift modules and automated storage carousels,Yes
Robotic Arm,"Automation, Robotics & Material Handling",Jaka Americas LLC,jaka.com,"$100M-$200M (est., parent)",Robotics,Collaborative robots (cobots),Yes
Robotic Arm,"Automation, Robotics & Material Handling",Kardex,kardex.com,$1.5B+ (2023),Warehouse automation,Automated storage and retrieval systems (Kardex Remstar),Yes
Robotic Arm,"Automation, Robotics & Material Handling","Kawasaki Robotics (USA),  Inc.",kawasakirobotics.com,"$12B (parent Kawasaki Heavy, FY2024)",Industrial robotics,Industrial robots and automation systems,Yes
Robotic Arm,"Automation, Robotics & Material Handling",Kito Crosby,kitocrosby.com,$1.1B (est.),Lifting equipment,"Hoists, rigging hardware, lifting solutions",Yes
Robotic Arm,"Automation, Robotics & Material Handling",KUKA,kuka.com,$4B (2023),Industrial robotics,Industrial robots and automation systems,Yes
Robotic Arm,"Automation, Robotics & Material Handling",Misumi (Student Summit),misumiusa.com,"$2.6B (Misumi Group, FY2024)",Factory automation components,"Configurable mechanical components, fasteners, and automation parts",Yes
Robotic Arm,"Automation, Robotics & Material Handling",MISUMI Americas,misumiusa.com,"$2.6B (Misumi Group, FY2024)",Factory automation components,"Configurable mechanical components, fasteners, and automation parts",Yes
Robotic Arm,"Automation, Robotics & Material Handling","Mitsubishi Electric US, Inc., Industrial Automation",us.mitsubishielectric.com,"$36B (Mitsubishi Electric group, FY2024)",Industrial automation,"CNC controls, PLCs, servos, robots, automation systems",Yes
Robotic Arm,"Automation, Robotics & Material Handling","Mitsubishi Electric US, Inc., Industrial Automation (Student Summit)",us.mitsubishielectric.com,"$36B (Mitsubishi Electric group, FY2024)",Industrial automation,"CNC controls, PLCs, servos, robots, automation systems",Yes
Robotic Arm,"Automation, Robotics & Material Handling",Modula Inc.,modula.com,~$300M (est.),Warehouse automation,Vertical lift modules and automated storage systems,Yes
Robotic Arm,"Automation, Robotics & Material Handling","Murata Machinery USA, Inc.",muratec-usa.com,"~$3B (Murata Machinery group, est.)",Machine tools & automation,"CNC turning centers, sheet metal machinery, automated material handling",Yes
Robotic Arm,"Automation, Robotics & Material Handling",Nachi Robotics,nachirobotics.com,"$2B+ (Nachi-Fujikoshi group, est.)",Robotics,Industrial robots and robotic automation systems,Yes
Robotic Arm,"Automation, Robotics & Material Handling",NB Corporation of America,nbcorporation.com,"$100M-$500M (NB group, est.)",Linear motion components,"Linear guides, slides, ball splines, and bearings",Yes
Robotic Arm,"Automation, Robotics & Material Handling","Oki Electric Cable Co., Ltd.",okidensen.co.jp,$100M-$500M (est.),Wire & cable,"Industrial cables, robot cables, and harnesses",Yes
Robotic Arm,"Automation, Robotics & Material Handling",OnLogic,onlogic.com,$100M-$500M (est.),Industrial computers,Rugged industrial and edge computing hardware,Yes
Robotic Arm,"Automation, Robotics & Material Handling",ORIENTAL MOTOR U.S.A. CORP.,orientalmotor.com,~$400M (est.),Motion control,"Stepper motors, servo motors, drivers, and gearheads",Yes
Robotic Arm,"Automation, Robotics & Material Handling",Parker Hannifin,parker.com,$19.9B (FY2024),Motion and control technologies,"Hydraulics, pneumatics, seals, filtration, and motion control components",Yes
Robotic Arm,"Automation, Robotics & Material Handling",Rockwell Automation,rockwellautomation.com,$8.3B (FY2024),Industrial automation,"PLCs, drives, industrial control, and automation software",Yes
Robotic Arm,"Automation, Robotics & Material Handling",SCHNEEBERGER Inc.,schneeberger.com,$100M-$300M (est.),Linear motion,"Linear bearings, guideways, and precision motion systems",Yes
Robotic Arm,"Automation, Robotics & Material Handling",SICK,sick.com,$2.4B (2023),Industrial sensors,"Sensors, safety systems, and machine vision for automation",Yes
Robotic Arm,"Automation, Robotics & Material Handling",SIEMENS,siemens.com,$80B (2024),Industrial automation,"CNC controls, drives, PLCs, and digital manufacturing software",Yes
Robotic Arm,"Automation, Robotics & Material Handling",SIEMENS (Student Summit),siemens.com,$80B (2024),Industrial automation,Student summit exhibit; CNC controls and automation technology,Yes
Robotic Arm,"Automation, Robotics & Material Handling",SMC Corporation of America,smcusa.com,$5B (2024),Pneumatics,"Pneumatic and electric actuators, valves, and air preparation",Yes
Robotic Arm,"Automation, Robotics & Material Handling",SMC Corporation of America (Student Summit),smcusa.com,$5B (2024),Pneumatics,Student summit exhibit; pneumatic automation components,Yes
Robotic Arm,"Automation, Robotics & Material Handling","Southworth International Group, Inc.",southworthproducts.com,$100M-$200M (est.),Ergonomic material handling,"Lift tables, tilters, and pallet positioners",Yes
Robotic Arm,"Automation, Robotics & Material Handling","TBI MOTION INTELLIGENCE CO., LTD.",tbimotion.com.tw,$100M-$200M (est.),Linear motion components,"Ball screws, linear guides, motion components",Yes
Robotic Arm,"Automation, Robotics & Material Handling",Teradyne Robotics - Universal Robots / MiR (Student Summit),universal-robots.com,"$365M (2024, robotics segment)",Robotics,Collaborative robot arms and autonomous mobile robots,Yes
Robotic Arm,"Automation, Robotics & Material Handling",THK America Inc.,thk.com,"$2.5B (2024, group)",Linear motion components,"Linear guides, ball screws, actuators",Yes
Robotic Arm,"Automation, Robotics & Material Handling",TiMOTION USA Inc.,timotion.com,$100M-$200M (est.),Linear actuators,Electric linear actuators and lifting columns,Yes
Robotic Arm,"Automation, Robotics & Material Handling",Universal Robots,universal-robots.com,~$300M (2023),Collaborative robots,Collaborative robot arms (cobots) for industrial automation,Yes
Robotic Arm,"Automation, Robotics & Material Handling",Weidmuller,weidmuller.com,$1.2B (2023),Electrical connectivity,"Terminal blocks, connectors, electronics for industrial automation",Yes
Robotic Arm,"Automation, Robotics & Material Handling","Yaskawa America, Inc.",yaskawa.com,"$3.9B (parent, FY2024)",Motion control/robotics,"AC drives, servo motors, motion controllers, robots",Yes
Robotic Arm,"Automation, Robotics & Material Handling","Yaskawa America, Inc., Motoman Robotics Division (Student Summit)",motoman.com,"$3.9B (parent, FY2024)",Industrial robots,Motoman industrial robots and robotic systems,Yes
Robotic Arm,"Automation, Robotics & Material Handling",Zimmer Group US Inc,zimmer-group.com,$200M-$300M (est.),Automation components,"Grippers, end-of-arm tooling, damping and clamping technology",Yes
,"Automation, Robotics & Material Handling",Bunting Magnetics,buntingmagnetics.com,$50M-$100M (est.),Magnetic equipment,"Magnetic separators, conveyors, and magnets",Near-ICP
,"Automation, Robotics & Material Handling","Chieftek Precision USA Co., Ltd.",chieftek.com,$50M-$100M (est.),Motion components,"Linear guides, linear motors, and motion control",Near-ICP
,"Automation, Robotics & Material Handling",CIMON Co,cimon.com,$50M-$100M (est.),Industrial automation,"PLCs, HMIs, and SCADA software",Near-ICP
,"Automation, Robotics & Material Handling",Coval Vacuum Technology Inc.,coval.com,$50M-$100M (est.),Vacuum handling,"Vacuum pumps, suction cups, and gripping systems for automation",Near-ICP
,"Automation, Robotics & Material Handling","Hennig, Inc.",hennigworldwide.com,$50M-$100M (est.),Machine protection,"Way covers, chip conveyors, and machine enclosures",Near-ICP
,"Automation, Robotics & Material Handling",Infranor Inc.,infranor.com,"$50M-$100M (est., group)",Motion control,"Servo motors, drives and motion control systems",Near-ICP
,"Automation, Robotics & Material Handling",Milton Industries,miltonindustries.com,$50M-$100M (est.),Pneumatic tools & accessories,"Air couplers, blow guns, gauges, and pneumatic accessories",Near-ICP
,"Automation, Robotics & Material Handling","Neousys Technology America, Inc.",neousys-tech.com,$50M-$100M (est.),Industrial computers,Rugged embedded computers and edge AI platforms,Near-ICP
,"Automation, Robotics & Material Handling",PBC Linear,pbclinear.com,$50M-$100M (est.),Linear motion,"Linear bearings, actuators, and motion control components",Near-ICP
,"Automation, Robotics & Material Handling",Shuttleworth,shuttleworth.com,$50M-$100M (est.),Material handling,Slip-torque roller conveyors and product handling systems,Near-ICP
,"Automation, Robotics & Material Handling",Vention,vention.io,$50M-$100M (est.),Industrial automation platform,"Modular framing, robotics, cloud-based machine design platform",Near-ICP
Small like Caplugs,Metrology & Inspection,"Blum-Novotest, Inc.",blum-novotest.com,$100M-$150M (est.),Metrology,"Touch probes, laser measuring systems, and gauging for machine tools",Yes
Small like Caplugs,Metrology & Inspection,Bruker Alicona,alicona.com,"$3.4B (Bruker, 2024)",Metrology,Optical 3D surface measurement and metrology systems,Yes
Small like Caplugs,Metrology & Inspection,"Canon U.S.A.,Inc.",usa.canon.com,"$30B (Canon, 2024)",Imaging/optics,"Cameras, optics, 3D machine vision, and industrial equipment",Yes
Small like Caplugs,Metrology & Inspection,Evident,evidentscientific.com,$1B (est.),Scientific & inspection instruments,"Industrial microscopes, videoscopes, XRF analyzers, NDT instruments",Yes
Small like Caplugs,Metrology & Inspection,"FARO CREAFORM a Business of AMETEK, Inc.",faro.com,"$6.9B (AMETEK, 2024)",3D metrology,"3D scanners, laser trackers, portable CMMs",Yes
Small like Caplugs,Metrology & Inspection,"Fischer Technology, Inc.",fischer-technology.com,$100M-$200M (est.),Measurement instruments,"Coating thickness gauges, XRF, material testing instruments",Yes
Small like Caplugs,Metrology & Inspection,Foerster Instruments Inc.,foerstergroup.com,$100M-$200M (est.),NDT instruments,"Eddy current testing, magnetometry, metal detection",Yes
Small like Caplugs,Metrology & Inspection,"JEOL USA, INC",jeolusa.com,"$1B+ (parent, FY2024)",Scientific instruments,"Electron microscopes, analytical instruments",Yes
Small like Caplugs,Metrology & Inspection,Keyence Corporation,keyence.com,$7B (FY2025),Sensors and measurement,"Sensors, vision systems, measurement instruments, laser markers",Yes
Small like Caplugs,Metrology & Inspection,"Leica Microsystems, Inc.",leica-microsystems.com,$1B+ (est.),Microscopy,Microscopes and imaging systems,Yes
Small like Caplugs,Metrology & Inspection,Mahr Inc.,mahr.com,"$400M (parent, est.)",Metrology,Dimensional measurement instruments and gauges,Yes
Small like Caplugs,Metrology & Inspection,MARPOSS,marposs.com,$600M (est.),Metrology and gauging,"In-process gauging, probes, machine monitoring",Yes
Small like Caplugs,Metrology & Inspection,Mitutoyo America Corporation,mitutoyo.com,"~$1B (Mitutoyo group, est.)",Metrology,"Micrometers, calipers, CMMs, and precision measuring instruments",Yes
Small like Caplugs,Metrology & Inspection,Mitutoyo America Corporation (Student Summit),mitutoyo.com,"~$1B (Mitutoyo group, est.)",Metrology,"Micrometers, calipers, CMMs, and precision measuring instruments",Yes
Small like Caplugs,Metrology & Inspection,"Nikon Metrology, Inc.",nikonmetrology.com,"$4.5B (Nikon group, FY2024)",Metrology,"X-ray CT, laser scanning, and optical measurement systems",Yes
Small like Caplugs,Metrology & Inspection,Optical Gaging Products (OGP),ogpnet.com,"$100M-$500M (QVI group, est.)",Metrology,Multisensor video and optical measurement systems,Yes
Small like Caplugs,Metrology & Inspection,Optical Gaging Products (OGP) Student Summit,ogpnet.com,"$100M-$500M (QVI group, est.)",Metrology,Multisensor video and optical measurement systems,Yes
Small like Caplugs,Metrology & Inspection,Schenck USA CORP.,schenck-usa.com,$100M-$500M (est.),Balancing technology,Balancing machines and vibration diagnostic systems,Yes
Small like Caplugs,Metrology & Inspection,SHINING 3D Technology Inc.,shining3d.com,$100M-$300M (est.),3D scanning and printing,"3D scanners, metrology systems, and 3D printers",Yes
Small like Caplugs,Metrology & Inspection,Thermo Fisher Scientific,thermofisher.com,$42.9B (2024),Scientific instruments,"Analytical instruments, electron microscopy, lab equipment",Yes
Small like Caplugs,Metrology & Inspection,"WENZEL America, Ltd.",wenzelamerica.com,$100M-$150M (est.),Metrology (CMM),"Coordinate measuring machines, gear inspection, CT scanning",Yes
Small like Caplugs,Metrology & Inspection,"Werth, Inc.",werthinc.com,$100M-$150M (est.),Metrology,Multisensor and X-ray CT coordinate measuring machines,Yes
Small like Caplugs,Metrology & Inspection,ZEISS Industrial Quality Solutions,zeiss.com,"$11B+ (Zeiss Group, FY2024)",Industrial metrology,"CMMs, optical and X-ray metrology, microscopy for quality",Yes
Small like Caplugs,Metrology & Inspection,ZEISS Industrial Quality Solutions (Student Summit),zeiss.com,"$11B+ (Zeiss Group, FY2024)",Industrial metrology,"CMMs, optical and X-ray metrology, microscopy for quality",Yes
Small like Caplugs,Metrology & Inspection,ZOLLER Inc.,zoller.info,$150M-$250M (est.),Tool presetting/measurement,"Tool presetters, measuring machines, tool management software",Yes
Small like Caplugs,Metrology & Inspection,Zygo,zygo.com,$200M-$300M (est.),Optical metrology,"Interferometers, optical profilers, precision optics",Yes
,Metrology & Inspection,Artec 3D,artec3d.com,$50M-$150M (est.),3D scanning,Handheld and desktop 3D scanners,Near-ICP
,Metrology & Inspection,CEMB USA-BL SYSTEMS,cemb.com,$50M-$100M (est.),Balancing equipment,Balancing machines and vibration analysis systems,Near-ICP
,Metrology & Inspection,Cesare Galdabini spa,galdabini.it,$50M-$100M (est.),Testing machines,Material testing machines and straightening presses,Near-ICP
,Metrology & Inspection,Insize USA,insize.com,$50M-$100M (est.),Metrology,"Calipers, micrometers, gauges and measuring instruments",Near-ICP
,Metrology & Inspection,Navitar,navitar.com,$50M-$100M (est.),Optics,"Precision lenses, imaging optics, and inspection optics",Near-ICP
,Metrology & Inspection,VICIVISION America - METRIOS America,vicivision.com,$50M-$100M (est.),Optical metrology,Optical measuring machines for turned and cylindrical parts,Near-ICP
,Metrology & Inspection,Virtek Vision,virtekvision.com,$50M-$100M (est.),Laser projection systems,Laser templating and projection for assembly and inspection,Near-ICP
,Metrology & Inspection,Vision Engineering Inc.,visioneng.com,$50M-$100M (est.),Optical inspection/microscopy,Stereo microscopes and non-contact measuring systems,Near-ICP
,Metrology & Inspection,VJ Technologies,vjt.com,$50M-$100M (est.),X-ray inspection,Digital X-ray and CT inspection systems,Near-ICP
Small like Caplugs,"Shop Support, Components & Consumables",80/20 LLC,8020.net,$100M-$300M (est.),Aluminum framing systems,T-slot aluminum extrusion framing and accessories,Yes
Small like Caplugs,"Shop Support, Components & Consumables",Absolent Air Care Group,absolentgroup.com,$120M-$150M (est.),Industrial air filtration,"Oil mist, oil smoke, and dust filtration units",Yes
Small like Caplugs,"Shop Support, Components & Consumables",AFC Cable Systems / Atkore International,atkore.com,"$3.2B (Atkore parent, FY2024)",Electrical infrastructure,"Armored cable, conduit, and electrical raceway products",Yes
Small like Caplugs,"Shop Support, Components & Consumables",Ajax TOCCO Magnethermic,ajaxtocco.com,$100M-$300M (est.),Induction heating,"Induction heating, melting, and heat treating systems",Yes
Small like Caplugs,"Shop Support, Components & Consumables",ALD Vacuum Technologies GmbH,ald-vt.com,$200M-$400M (est.),Vacuum furnaces,Vacuum metallurgy and heat treatment systems,Yes
Small like Caplugs,"Shop Support, Components & Consumables",Big Ass Fans,bigassfans.com,$500M+ (est.),Industrial HVAC,Large-diameter HVLS industrial fans and evaporative coolers,Yes
Small like Caplugs,"Shop Support, Components & Consumables",Bissell Commercial,bissellcommercial.com,"$1B+ (BISSELL, est.)",Cleaning equipment,Commercial vacuums and floor care equipment,Yes
Small like Caplugs,"Shop Support, Components & Consumables",Bossard,bossard.com,$1.1B (2024),Fasteners,"Fasteners, smart factory logistics, and assembly technology",Yes
